x,z,t
588.000000000,254.801280000,48.114285714
589.000000000,254.831810000,48.164285714
590.000000000,254.860000000,48.214285714
591.000000000,254.885790000,48.264285714
592.000000000,254.909120000,48.314285714
593.000000000,254.929930000,48.364285714
594.000000000,254.948160000,48.414285714
595.000000000,254.963750000,48.464285714
596.000000000,254.976640000,48.514285714
597.000000000,254.986770000,48.564285714
598.000000000,254.994080000,48.614285714
599.000000000,254.998510000,48.664285714
600.000000000,255.000000000,48.714285714
600.000000000,255.000000000,48.714285714
601.000000000,254.995530000,48.764285714
602.000000000,254.982240000,48.814285714
603.000000000,254.960310000,48.864285714
604.000000000,254.929920000,48.914285714
605.000000000,254.891250000,48.964285714
606.000000000,254.844480000,49.014285714
607.000000000,254.789790000,49.064285714
608.000000000,254.727360000,49.114285714
609.000000000,254.657370000,49.164285714
610.000000000,254.580000000,49.214285714
611.000000000,254.495430000,49.264285714
612.000000000,254.403840000,49.314285714
613.000000000,254.305410000,49.364285714
614.000000000,254.200320000,49.414285714
615.000000000,254.088750000,49.464285714
616.000000000,253.970880000,49.514285714
617.000000000,253.846890000,49.564285714
618.000000000,253.716960000,49.614285714
619.000000000,253.581270000,49.664285714
620.000000000,253.440000000,49.714285714
621.000000000,253.293330000,49.764285714
622.000000000,253.141440000,49.814285714
623.000000000,252.984510000,49.864285714
624.000000000,252.822720000,49.914285714
625.000000000,252.656250000,49.964285714
626.000000000,252.485280000,50.014285714
627.000000000,252.309990000,50.064285714
628.000000000,252.130560000,50.114285714
629.000000000,251.947170000,50.164285714
630.000000000,251.760000000,50.214285714
631.000000000,251.569230000,50.264285714
632.000000000,251.375040000,50.314285714
633.000000000,251.177610000,50.364285714
634.000000000,250.977120000,50.414285714
635.000000000,250.773750000,50.464285714
636.000000000,250.567680000,50.514285714
637.000000000,250.359090000,50.564285714
638.000000000,250.148160000,50.614285714
639.000000000,249.935070000,50.664285714
640.000000000,249.720000000,50.714285714
641.000000000,249.503130000,50.764285714
642.000000000,249.284640000,50.814285714
643.000000000,249.064710000,50.864285714
644.000000000,248.843520000,50.914285714
645.000000000,248.621250000,50.964285714
646.000000000,248.398080000,51.014285714
647.000000000,248.174190000,51.064285714
648.000000000,247.949760000,51.114285714
649.000000000,247.724970000,51.164285714
650.000000000,247.500000000,51.214285714
651.000000000,247.275030000,51.264285714
652.000000000,247.050240000,51.314285714
653.000000000,246.825810000,51.364285714
654.000000000,246.601920000,51.414285714
655.000000000,246.378750000,51.464285714
656.000000000,246.156480000,51.514285714
657.000000000,245.935290000,51.564285714
658.000000000,245.715360000,51.614285714
659.000000000,245.496870000,51.664285714
660.000000000,245.280000000,51.714285714
661.000000000,245.064930000,51.764285714
662.000000000,244.851840000,51.814285714
663.000000000,244.640910000,51.864285714
664.000000000,244.432320000,51.914285714
665.000000000,244.226250000,51.964285714
666.000000000,244.022880000,52.014285714
667.000000000,243.822390000,52.064285714
668.000000000,243.624960000,52.114285714
669.000000000,243.430770000,52.164285714
670.000000000,243.240000000,52.214285714
671.000000000,243.052830000,52.264285714
672.000000000,242.869440000,52.314285714
673.000000000,242.690010000,52.364285714
674.000000000,242.514720000,52.414285714
675.000000000,242.343750000,52.464285714
676.000000000,242.177280000,52.514285714
677.000000000,242.015490000,52.564285714
678.000000000,241.858560000,52.614285714
679.000000000,241.706670000,52.664285714
680.000000000,241.560000000,52.714285714
681.000000000,241.418730000,52.764285714
682.000000000,241.283040000,52.814285714
683.000000000,241.153110000,52.864285714
684.000000000,241.029120000,52.914285714
685.000000000,240.911250000,52.964285714
686.000000000,240.799680000,53.014285714
687.000000000,240.694590000,53.064285714
688.000000000,240.596160000,53.114285714
689.000000000,240.504570000,53.164285714
690.000000000,240.420000000,53.214285714
691.000000000,240.342630000,53.264285714
692.000000000,240.272640000,53.314285714
693.000000000,240.210210000,53.364285714
694.000000000,240.155520000,53.414285714
695.000000000,240.108750000,53.464285714
696.000000000,240.070080000,53.514285714
697.000000000,240.039690000,53.564285714
698.000000000,240.017760000,53.614285714
699.000000000,240.004470000,53.664285714
700.000000000,240.000000000,53.714285714
700.000000000,240.000000000,53.714285714
701.000000000,240.004470000,53.764285714
702.000000000,240.017760000,53.814285714
703.000000000,240.039690000,53.864285714
704.000000000,240.070080000,53.914285714
705.000000000,240.108750000,53.964285714
706.000000000,240.155520000,54.014285714
707.000000000,240.210210000,54.064285714
708.000000000,240.272640000,54.114285714
709.000000000,240.342630000,54.164285714
710.000000000,240.420000000,54.214285714
