scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,109,0,0.5703125,0.0026041666666666665,0.48124238716514484,-0.2041684896823498,0,1.082369173178437,-0.42425292353203836,0,0.4156238535432033
four-quadrants,110,0,0.5755208333333334,0.0026041666666666665,0.48264641608442954,-0.20325722599660231,0,1.0860017792192915,-0.42113070608825665,0,0.41728113986741877
four-quadrants,111,0,0.5807291666666666,0.0026041666666666665,0.48432734254934723,-0.20214949753197498,0,1.090382571314098,-0.4173819641648217,0,0.4192783176586737
four-quadrants,112,0,0.5859375,0.0026041666666666665,0.48631162628809704,-0.20082434676492328,0,1.0955851700450447,-0.4129540317548412,0,0.42164782328379646
four-quadrants,113,0,0.5911458333333334,0.0026041666666666665,0.48862181170448704,-0.19926213845842847,0,1.1016748947371429,-0.40780442805721484,0,0.4244179614133578
four-quadrants,114,0,0.5963541666666666,0.0026041666666666665,0.4912758258202746,-0.19744502277342854,0,1.1087069044582005,-0.40190258180067795,0,0.4276120289000133
four-quadrants,115,0,0.6015625,0.0026041666666666665,0.49428653978704185,-0.19535726786345844,0,1.116724993954658,-0.3952308067050057,0,0.4312477554671911
four-quadrants,116,0,0.6067708333333334,0.0026041666666666665,0.49766160912423574,-0.1929854623630582,0,1.1257610625434795,-0.3877845082377682,0,0.43533707049349246
four-quadrants,117,0,0.6119791666666666,0.0026041666666666665,0.5014035740415509,-0.19031860145958235,0,1.1358351981249775,-0.3795716889800447,0,0.43988616864992425
four-quadrants,118,0,0.6171875,0.0026041666666666665,0.5055101755200915,-0.18734807928630964,0,1.1469562625247862,-0.37061188549480245,0,0.44489582002828876
four-quadrants,119,0,0.6223958333333334,0.0026041666666666665,0.50997482762573,-0.18406761484830164,0,1.1591228329529841,-0.3609347067290715,0,0.45036185506447535
four-quadrants,120,0,0.6276041666666666,0.0026041666666666665,0.5147871817282282,-0.18047313921878377,0,1.1723243464786364,-0.35057815272887083,0,0.4562757506385543
four-quadrants,121,0,0.6328125,0.0026041666666666665,0.5199337220084896,-0.1765626694706675,0,1.186542305133988,-0.33958687809017424,0,0.462625248911033
four-quadrants,122,0,0.6380208333333334,0.0026041666666666665,0.5253983410408104,-0.17233619098031874,0,1.201751421891847,-0.3280105350902364,0,0.4693949515129653
four-quadrants,123,0,0.6432291666666666,0.0026041666666666665,0.5311628564307282,-0.16779556541501578,0,1.2179206157070237,-0.3159022950937438,0,0.4765668454385783
four-quadrants,124,0,0.6484375,0.0026041666666666665,0.5372074420466304,-0.16294447762934527,0,1.2350137917853936,-0.3033176104347442,0,0.4841207307965434
four-quadrants,125,0,0.6536458333333334,0.0026041666666666665,0.5435109586341824,-0.15778843125863504,0,1.2529903677558825,-0.2903132471425231,0,0.4920345327343092
four-quadrants,126,0,0.6588541666666666,0.0026041666666666665,0.5500511776564441,-0.15233480014670928,0,1.2718055257582042,-0.2769465939437656,0,0.5002844894953346
four-quadrants,127,0,0.6640625,0.0026041666666666665,0.5568048988209019,-0.1465929408195104,0,1.2914101843487693,-0.263275235418973,0,0.5088452155385045
four-quadrants,128,0,0.6692708333333334,0.0026041666666666665,0.563747966163715,-0.14057436981767468,0,1.311750693310306,-0.2493567662412661,0,0.5176896432692946
four-quadrants,129,0,0.6744791666666666,0.0026041666666666665,0.5708551902722618,-0.13429300853297713,0,1.3327682603109037,-0.23524881760105895,0,0.5267888498304671
four-quadrants,130,0,0.6796875,0.0026041666666666665,0.578100185899592,-0.1277654968703811,0,1.354398122666182,-0.22100926446090471,0,0.5361117773691119
four-quadrants,131,0,0.6848958333333334,0.0026041666666666665,0.585455135585867,-0.12101157509423915,0,1.3765684822492292,-0.20669658140950875,0,0.5456248571230998
four-quadrants,132,0,0.6901041666666666,0.0026041666666666665,0.592890491711394,-0.11405453000398855,0,1.3991992291491275,-0.19237031390867335,0,0.5552915505117364
four-quadrants,133,0,0.6953125,0.0026041666666666665,0.6003746324477063,-0.10692169635955767,0,1.422200492568321,-0.17809162909439008,0,0.5650718252092866
four-quadrants,134,0,0.7005208333333334,0.0026041666666666665,0.6078734921527192,-0.09964499631886489,0,1.4454710785404659,-0.16392390457097042,0,0.5749215920426768
four-quadrants,135,0,0.7057291666666666,0.0026041666666666665,0.6153501946631846,-0.09226148752829909,0,1.4688968863871337,-0.14993330355375759,0,0.5847921406316732
four-quadrants,136,0,0.7109375,0.0026041666666666665,0.6227647293301143,-0.08481387344396206,-1.0522100964819129e-18,1.4923494421889552,-0.13618926931715178,-1.6895788199401363e-18,0.594629628985124
four-quadrants,137,0,0.7161458333333334,0.0026041666666666665,0.6300737247869894,-0.0773509068934965,0,1.5156847494291117,-0.12276485092224201,0,0.6043747052609487
four-quadrants,138,0,0.7213541666666666,0.0026041666666666665,0.6372303937443262,-0.0699275903265012,0,1.538742732768827,-0.10973674672924971,0,0.6139623678537216
four-quadrants,139,0,0.7265625,0.0026041666666666665,0.6441847414047066,-0.06260504625533038,0,1.5613476330617342,-0.09718492573856076,0,0.623322199870457
four-quadrants,140,0,0.7317708333333334,0.0026041666666666665,0.6508841457702635,-0.05544990508018113,-1.0522100964819129e-18,1.583309783009695,-0.08519166650550553,-1.6165858445310812e-18,0.6323791392396075
four-quadrants,141,0,0.7369791666666666,0.0026041666666666665,0.6572744223415303,-0.04853304546283895,-1.0522100964819129e-18,1.604429223178435,-0.07383985107763771,-1.6008687706626862e-18,0.64105495470151
four-quadrants,142,0,0.7421875,0.0026041666666666665,0.6633014675037991,-0.041927540076099785,0,1.6245015640475204,-0.06321038340814411,0,0.6492705744422942
four-quadrants,143,0,0.7473958333333334,0.0026041666666666665,0.6689135220496376,-0.035705724702828213,0,1.6433263116143595,-0.0533786857730447,0,0.6569493397139016
four-quadrants,144,0,0.7526041666666666,0.0026041666666666665,0.6740640001244741,-0.029935434966810455,0,1.6607175140497874,-0.04441037492179157,0,0.6640211168418504
four-quadrants,145,0,0.7578125,0.0026041666666666665,0.6787146918958054,-0.024675641262121087,0,1.6765160594480202,-0.0363564271655832,0,0.670427000148346
four-quadrants,146,0,0.7630208333333334,0.0026041666666666665,0.6828389920667444,-0.019971930939309532,0,1.6906023391890161,-0.029248375050845613,0,0.6761241063702861
four-quadrants,147,0,0.7682291666666666,0.0026041666666666665,0.686424674650201,-0.01585247815350355,0,1.702907455791334,-0.02309427201401509,0,0.681089762028019
four-quadrants,148,0,0.7734375,0.0026041666666666665,0.6894756843047467,-0.012325226161697794,-1.0522100964819129e-18,1.7134209233072941,-0.01787623036209943,-1.5261018197370372e-18,0.6853243036064914
